"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.2122966589301,0.798,0.244,0,"0","FCN1"
0,2.31331513483139,0.848,0.295,0,"0","EREG"
0,3.12024210450467,0.685,0.139,0,"0","S100A12"
0,1.40512994578861,0.823,0.29,0,"0","AQP9"
0,2.75484420660031,0.904,0.398,0,"0","S100A8"
0,2.27335064307597,0.808,0.304,0,"0","VCAN"
0,2.24084462340623,0.887,0.433,0,"0","IL1B"
0,2.43629399637074,0.713,0.284,0,"0","NLRP3"
0,2.82602655777355,0.526,0.099,0,"0","MCTP2"
0,2.26532949275374,0.627,0.205,0,"0","CD300E"
0,2.15613141646673,0.652,0.246,0,"0","EHD1"
0,2.38988328661208,0.774,0.381,0,"0","CXCL2"
0,0.637736103670651,0.75,0.357,0,"0","LUCAT1"
0,0.776794389888523,0.848,0.469,0,"0","G0S2"
0,2.78250361009109,0.477,0.108,0,"0","ENSG00000274213"
0,2.3810188550537,0.468,0.099,0,"0","FCAR"
0,1.43995173751383,0.668,0.308,0,"0","TREM1"
0,2.00279769203709,0.66,0.301,0,"0","ANPEP"
0,1.84081979597542,0.7,0.35,0,"0","IL1RN"
0,2.08311384377953,0.579,0.231,0,"0","MAP3K20"
0,1.18000658496221,0.66,0.316,0,"0","PTGS2"
0,1.12258781666579,0.754,0.411,0,"0","SLC11A1"
0,2.79280785051584,0.937,0.597,0,"0","S100A9"
0,1.76648960210185,0.603,0.266,0,"0","ENSG00000293060"
0,1.78887414941077,0.796,0.46,0,"0","MAP4K4"
0,1.59078385325257,0.628,0.294,0,"0","ATP2B1-AS1"
0,2.20019974602348,0.565,0.232,0,"0","DUSP6"
0,1.59784239254849,0.484,0.159,0,"0","TNFAIP6"
0,2.14707285352888,0.591,0.269,0,"0","CXCL3"
0,3.31503030384258,0.363,0.044,0,"0","SERPINB2"
0,0.778380464896599,0.906,0.588,0,"0","RPL21"
0,1.43752712117945,0.933,0.615,0,"0","BCL2A1"
0,1.42486420344936,0.851,0.538,0,"0","DENND5A"
0,1.05197158090856,0.891,0.58,0,"0","RPS13"
0,2.33272350392014,0.411,0.1,0,"0","MCEMP1"
0,1.36012595637969,0.909,0.599,0,"0","H3-3B"
0,0.879083944727702,0.893,0.584,0,"0","RPL35A"
0,0.595407892604414,0.882,0.575,0,"0","CXCL8"
0,0.897056803095668,0.898,0.591,0,"0","RPL26"
0,2.37733403690311,0.395,0.089,0,"0","LIPN"
0,0.751250520095512,0.919,0.614,0,"0","RPS27"
0,0.62662108153472,0.904,0.599,0,"0","RPS27A"
0,1.00498424260922,0.918,0.613,0,"0","RPL34"
0,1.0095186802205,0.686,0.381,0,"0","SLC25A37"
0,0.553129589343398,0.906,0.601,0,"0","RPL41"
0,0.886766385972971,0.901,0.596,0,"0","RPS16"
0,1.9097391589718,0.489,0.184,0,"0","ENSG00000308028"
0,0.773956720464095,0.908,0.604,0,"0","RPS14"
0,0.960629127549534,0.917,0.613,0,"0","RPL39"
0,0.973613997008286,0.911,0.607,0,"0","RPS24"
0,1.08892986150228,0.91,0.606,0,"0","RPS9"
0,0.789438584958988,0.902,0.598,0,"0","RPL18A"
0,0.747487031399854,0.878,0.575,0,"0","RPL9"
0,0.68709834413949,0.884,0.581,0,"0","RPS3A"
0,0.770017726600762,0.91,0.607,0,"0","RPS12"
0,0.800850294695735,0.901,0.598,0,"0","RPS15A"
0,0.862760025190831,0.915,0.613,0,"0","RPL32"
0,0.378630307668489,0.899,0.597,0,"0","RPS29"
0,0.854877758580371,0.926,0.625,0,"0","RPL28"
0,0.636892491255595,0.909,0.608,0,"0","RPS15"
0,0.723953277195605,0.918,0.617,0,"0","RPS28"
0,0.795967799014153,0.923,0.623,0,"0","RPL13"
0,0.600578550913172,0.911,0.612,0,"0","RPLP2"
0,1.25475402600506,0.612,0.313,0,"0","DDX60L"
0,2.00860255106133,0.495,0.196,0,"0","LILRA5"
0,0.571921308332295,0.892,0.594,0,"0","RPS23"
0,0.507283830359034,0.926,0.628,0,"0","MT-ND3"
0,0.821689407943634,0.902,0.605,0,"0","RPL11"
0,0.659435856264651,0.917,0.62,0,"0","RPL10"
0,0.973234372798506,0.882,0.585,0,"0","RPL30"
0,0.537700340312326,0.9,0.603,0,"0","RPS2"
0,0.778753790341253,0.897,0.601,0,"0","RPS8"
0,0.549334828874968,0.912,0.616,0,"0","RPS18"
0,0.922456649311241,0.925,0.629,0,"0","RPLP1"
0,1.57926593278686,0.504,0.208,0,"0","PLCB1"
0,0.490587827868157,0.9,0.604,0,"0","RPL36"
0,0.606009026826324,0.882,0.587,0,"0","RPL37A"
0,0.653204620862161,0.887,0.592,0,"0","RPL8"
0,0.451838783395378,0.931,0.636,0,"0","MT-CO3"
0,0.71966380220094,0.901,0.607,0,"0","RPL37"
0,0.690713638438303,0.85,0.556,0,"0","RPL27"
0,1.49990097871015,0.651,0.359,0,"0","ANTXR2"
