"program","gene","present"
"Fibroblast","COL1A1",TRUE
"Fibroblast","COL1A2",TRUE
"Fibroblast","COL3A1",TRUE
"Fibroblast","DCN",TRUE
"Fibroblast","LUM",TRUE
"Fibroblast","DPT",TRUE
"Fibroblast","PI16",TRUE
"Fibroblast","SFRP2",TRUE
"CAF","POSTN",TRUE
"CAF","COL11A1",TRUE
"CAF","MMP11",TRUE
"CAF","LRRC15",TRUE
"CAF","CXCL12",TRUE
"CAF","CXCL14",TRUE
"CAF","IL6",TRUE
"CAF","IL11",TRUE
"Pericyte","RGS5",TRUE
"Pericyte","CSPG4",TRUE
"Pericyte","MCAM",TRUE
"Pericyte","NOTCH3",TRUE
"Pericyte","KCNJ8",TRUE
"Pericyte","ABCC9",TRUE
"Smooth_muscle","ACTA2",TRUE
"Smooth_muscle","TAGLN",TRUE
"Smooth_muscle","MYH11",TRUE
"Smooth_muscle","CNN1",TRUE
"Smooth_muscle","DES",TRUE
"Smooth_muscle","LMOD1",TRUE
"Endothelial_check","PECAM1",TRUE
"Endothelial_check","VWF",TRUE
"Endothelial_check","CDH5",TRUE
"Epithelial_check","EPCAM",TRUE
"Epithelial_check","KRT8",TRUE
"Epithelial_check","KRT18",TRUE
"Immune_check","PTPRC",TRUE
"Immune_check","LYZ",TRUE
"Immune_check","CD3D",TRUE
"Schwann","SOX10",TRUE
"Schwann","S100B",TRUE
"Schwann","PLP1",TRUE
"Schwann","PMP2",TRUE
