"cluster","group","proportion_within_cluster"
"0","CNP0000460",0.105085562786214
"1","CNP0000460",0.14479864720987
"10","CNP0000460",0.137141858839972
"11","CNP0000460",0.322074788902292
"12","CNP0000460",0.149805447470817
"13","CNP0000460",0.00317460317460317
"2","CNP0000460",0.181497932302037
"3","CNP0000460",0.160855930640103
"4","CNP0000460",0.177873375105209
"5","CNP0000460",0.123452122128746
"6","CNP0000460",0.153890824622532
"7","CNP0000460",0.170008183306056
"8","CNP0000460",0.117136051562281
"9","CNP0000460",0.114769520225776
"0","GSE326225",0.0361532899493854
"1","GSE326225",0.0291851944635811
"10","GSE326225",0.0405310971348707
"11","GSE326225",0.0156815440289505
"12","GSE326225",0.0389105058365759
"13","GSE326225",0.961904761904762
"2","GSE326225",0.0601164037371726
"3","GSE326225",0.0301604869950194
"4","GSE326225",0.0243149724118582
"5","GSE326225",0.0153133566499669
"6","GSE326225",0.0261324041811847
"7","GSE326225",0.0211743044189853
"8","GSE326225",0.0386717108028583
"9","GSE326225",0.0192850423330198
"0","HRA003620",0.399903591226802
"1","HRA003620",0.332874052733763
"10","HRA003620",0.29559748427673
"11","HRA003620",0.214716525934861
"12","HRA003620",0.388456549935149
"13","HRA003620",0.0158730158730159
"2","HRA003620",0.349440955735947
"3","HRA003620",0.230953698579598
"4","HRA003620",0.30786495838399
"5","HRA003620",0.390112487002552
"6","HRA003620",0.2289972899729
"7","HRA003620",0.354950900163666
"8","HRA003620",0.30306851618327
"9","HRA003620",0.295076826591408
"0","InhouseData",0.376572668112798
"1","InhouseData",0.337007578129893
"10","InhouseData",0.399720475192173
"11","InhouseData",0.272014475271411
"12","InhouseData",0.298313878080415
"13","InhouseData",0.00952380952380952
"2","InhouseData",0.229744218103844
"3","InhouseData",0.436358605423354
"4","InhouseData",0.307584401010007
"5","InhouseData",0.31004820871538
"6","InhouseData",0.455381339527681
"7","InhouseData",0.300327332242226
"8","InhouseData",0.387978142076503
"9","InhouseData",0.448416431483224
"0","PRJNA662018",0.0822848879248012
"1","PRJNA662018",0.156134527462892
"10","PRJNA662018",0.127009084556254
"11","PRJNA662018",0.175512665862485
"12","PRJNA662018",0.124513618677043
"13","PRJNA662018",0.00952380952380952
"2","PRJNA662018",0.179200490120999
"3","PRJNA662018",0.141671278361926
"4","PRJNA662018",0.182362293088937
"5","PRJNA662018",0.161073825503356
"6","PRJNA662018",0.135598141695703
"7","PRJNA662018",0.153539279869067
"8","PRJNA662018",0.153145579375088
"9","PRJNA662018",0.122452179366573
