"cluster","group","n_cells"
"0","CNP0000460_P01N",144
"1","CNP0000460_P01N",133
"10","CNP0000460_P01N",18
"11","CNP0000460_P01N",97
"12","CNP0000460_P01N",144
"14","CNP0000460_P01N",18
"15","CNP0000460_P01N",64
"2","CNP0000460_P01N",476
"3","CNP0000460_P01N",252
"4","CNP0000460_P01N",353
"5","CNP0000460_P01N",227
"8","CNP0000460_P01N",54
"0","CNP0000460_P01T",193
"1","CNP0000460_P01T",58
"10","CNP0000460_P01T",23
"11","CNP0000460_P01T",10
"12","CNP0000460_P01T",14
"14","CNP0000460_P01T",2
"15","CNP0000460_P01T",13
"2","CNP0000460_P01T",131
"3","CNP0000460_P01T",35
"4","CNP0000460_P01T",31
"5","CNP0000460_P01T",13
"8","CNP0000460_P01T",36
"0","CNP0000460_P02N",34
"1","CNP0000460_P02N",206
"10","CNP0000460_P02N",128
"11","CNP0000460_P02N",351
"12","CNP0000460_P02N",19
"13","CNP0000460_P02N",2
"14","CNP0000460_P02N",26
"15","CNP0000460_P02N",141
"2","CNP0000460_P02N",211
"3","CNP0000460_P02N",242
"4","CNP0000460_P02N",282
"5","CNP0000460_P02N",153
"8","CNP0000460_P02N",22
"0","CNP0000460_P02T",64
"1","CNP0000460_P02T",408
"10","CNP0000460_P02T",75
"11","CNP0000460_P02T",198
"12","CNP0000460_P02T",38
"13","CNP0000460_P02T",1
"14","CNP0000460_P02T",8
"15","CNP0000460_P02T",198
"2","CNP0000460_P02T",266
"3","CNP0000460_P02T",96
"4","CNP0000460_P02T",162
"5","CNP0000460_P02T",309
"8","CNP0000460_P02T",34
"0","CNP0000460_P03N",124
"1","CNP0000460_P03N",259
"10","CNP0000460_P03N",32
"11","CNP0000460_P03N",157
"12","CNP0000460_P03N",85
"13","CNP0000460_P03N",1
"14","CNP0000460_P03N",24
"15","CNP0000460_P03N",118
"2","CNP0000460_P03N",384
"3","CNP0000460_P03N",214
"4","CNP0000460_P03N",347
"5","CNP0000460_P03N",255
"8","CNP0000460_P03N",126
"0","CNP0000460_P03T",97
"1","CNP0000460_P03T",162
"10","CNP0000460_P03T",12
