"cluster","group","n_cells"
"0","CNP0000460_P01N",129
"1","CNP0000460_P01N",91
"10","CNP0000460_P01N",8
"11","CNP0000460_P01N",7
"12","CNP0000460_P01N",19
"13","CNP0000460_P01N",7
"14","CNP0000460_P01N",14
"15","CNP0000460_P01N",8
"16","CNP0000460_P01N",13
"18","CNP0000460_P01N",2
"19","CNP0000460_P01N",1
"2","CNP0000460_P01N",103
"3","CNP0000460_P01N",65
"4","CNP0000460_P01N",1
"5","CNP0000460_P01N",19
"7","CNP0000460_P01N",13
"8","CNP0000460_P01N",20
"9","CNP0000460_P01N",70
"0","CNP0000460_P01T",84
"1","CNP0000460_P01T",43
"10","CNP0000460_P01T",9
"11","CNP0000460_P01T",8
"12","CNP0000460_P01T",8
"13","CNP0000460_P01T",11
"14","CNP0000460_P01T",1
"15","CNP0000460_P01T",15
"16","CNP0000460_P01T",5
"17","CNP0000460_P01T",1
"18","CNP0000460_P01T",1
"2","CNP0000460_P01T",43
"3","CNP0000460_P01T",17
"5","CNP0000460_P01T",26
"7","CNP0000460_P01T",10
"8","CNP0000460_P01T",33
"9","CNP0000460_P01T",26
"0","CNP0000460_P02N",47
"1","CNP0000460_P02N",13
"10","CNP0000460_P02N",5
"11","CNP0000460_P02N",10
"12","CNP0000460_P02N",7
"13","CNP0000460_P02N",2
"14","CNP0000460_P02N",5
"15","CNP0000460_P02N",1
"16","CNP0000460_P02N",4
"17","CNP0000460_P02N",1
"18","CNP0000460_P02N",24
"2","CNP0000460_P02N",41
"3","CNP0000460_P02N",21
"4","CNP0000460_P02N",1
"5","CNP0000460_P02N",10
"7","CNP0000460_P02N",6
"8","CNP0000460_P02N",8
"9","CNP0000460_P02N",18
"0","CNP0000460_P02T",107
"1","CNP0000460_P02T",27
"10","CNP0000460_P02T",1
"11","CNP0000460_P02T",78
"12","CNP0000460_P02T",5
"13","CNP0000460_P02T",13
"14","CNP0000460_P02T",1
"15","CNP0000460_P02T",26
"16","CNP0000460_P02T",17
"18","CNP0000460_P02T",10
"19","CNP0000460_P02T",3
"2","CNP0000460_P02T",68
"3","CNP0000460_P02T",60
"4","CNP0000460_P02T",2
"5","CNP0000460_P02T",17
"7","CNP0000460_P02T",19
"8","CNP0000460_P02T",29
"9","CNP0000460_P02T",53
"0","CNP0000460_P03N",141
"1","CNP0000460_P03N",71
"10","CNP0000460_P03N",9
"11","CNP0000460_P03N",13
"12","CNP0000460_P03N",6
"13","CNP0000460_P03N",9
"14","CNP0000460_P03N",11
"15","CNP0000460_P03N",2
"16","CNP0000460_P03N",10
"17","CNP0000460_P03N",1
"18","CNP0000460_P03N",14
"2","CNP0000460_P03N",147
"3","CNP0000460_P03N",129
"5","CNP0000460_P03N",42
"7","CNP0000460_P03N",15
"8","CNP0000460_P03N",31
"9","CNP0000460_P03N",69
"0","CNP0000460_P03T",192
"1","CNP0000460_P03T",120
"10","CNP0000460_P03T",10
"11","CNP0000460_P03T",34
"12","CNP0000460_P03T",26
"13","CNP0000460_P03T",55
"14","CNP0000460_P03T",17
"15","CNP0000460_P03T",21
"16","CNP0000460_P03T",16
"17","CNP0000460_P03T",3
"18","CNP0000460_P03T",5
"19","CNP0000460_P03T",2
"2","CNP0000460_P03T",173
"3","CNP0000460_P03T",247
"4","CNP0000460_P03T",3
"5","CNP0000460_P03T",102
"7","CNP0000460_P03T",21
"8","CNP0000460_P03T",73
"9","CNP0000460_P03T",104
"0","CNP0000460_P04T",42
"1","CNP0000460_P04T",81
"10","CNP0000460_P04T",36
"11","CNP0000460_P04T",21
"12","CNP0000460_P04T",34
"13","CNP0000460_P04T",34
"14","CNP0000460_P04T",3
"15","CNP0000460_P04T",5
"16","CNP0000460_P04T",13
"17","CNP0000460_P04T",6
"18","CNP0000460_P04T",3
"2","CNP0000460_P04T",28
"3","CNP0000460_P04T",78
"5","CNP0000460_P04T",26
"7","CNP0000460_P04T",12
"8","CNP0000460_P04T",26
"9","CNP0000460_P04T",22
"0","CNP0000460_P05N",61
"1","CNP0000460_P05N",32
"10","CNP0000460_P05N",2
"11","CNP0000460_P05N",8
"12","CNP0000460_P05N",14
"13","CNP0000460_P05N",1
"14","CNP0000460_P05N",5
"15","CNP0000460_P05N",5
"16","CNP0000460_P05N",3
"18","CNP0000460_P05N",20
"2","CNP0000460_P05N",55
"3","CNP0000460_P05N",77
"5","CNP0000460_P05N",11
"7","CNP0000460_P05N",13
"8","CNP0000460_P05N",6
"9","CNP0000460_P05N",28
"0","CNP0000460_P05T",21
"1","CNP0000460_P05T",16
"10","CNP0000460_P05T",4
"11","CNP0000460_P05T",5
"12","CNP0000460_P05T",6
"13","CNP0000460_P05T",5
"16","CNP0000460_P05T",4
"18","CNP0000460_P05T",3
"2","CNP0000460_P05T",18
"3","CNP0000460_P05T",25
"5","CNP0000460_P05T",3
"7","CNP0000460_P05T",1
"8","CNP0000460_P05T",5
"9","CNP0000460_P05T",14
"0","CNP0000460_P06T",48
"1","CNP0000460_P06T",183
"10","CNP0000460_P06T",26
"11","CNP0000460_P06T",60
"12","CNP0000460_P06T",54
"13","CNP0000460_P06T",75
"14","CNP0000460_P06T",4
"15","CNP0000460_P06T",4
"16","CNP0000460_P06T",29
"17","CNP0000460_P06T",8
"18","CNP0000460_P06T",7
"2","CNP0000460_P06T",22
"3","CNP0000460_P06T",78
"5","CNP0000460_P06T",82
"7","CNP0000460_P06T",21
"8","CNP0000460_P06T",35
"9","CNP0000460_P06T",41
"0","CNP0000460_P07N",256
"1","CNP0000460_P07N",66
"10","CNP0000460_P07N",14
"11","CNP0000460_P07N",5
"12","CNP0000460_P07N",12
"13","CNP0000460_P07N",1
"14","CNP0000460_P07N",9
"15","CNP0000460_P07N",8
"16","CNP0000460_P07N",10
"18","CNP0000460_P07N",6
"2","CNP0000460_P07N",257
"3","CNP0000460_P07N",82
"5","CNP0000460_P07N",13
"7","CNP0000460_P07N",17
"8","CNP0000460_P07N",26
"9","CNP0000460_P07N",70
"0","CNP0000460_P07T",66
"1","CNP0000460_P07T",66
"10","CNP0000460_P07T",4
"11","CNP0000460_P07T",8
"12","CNP0000460_P07T",10
"13","CNP0000460_P07T",8
"14","CNP0000460_P07T",3
"15","CNP0000460_P07T",5
"16","CNP0000460_P07T",5
"18","CNP0000460_P07T",9
"2","CNP0000460_P07T",27
"3","CNP0000460_P07T",36
"4","CNP0000460_P07T",1
"5","CNP0000460_P07T",24
"7","CNP0000460_P07T",11
"8","CNP0000460_P07T",25
"9","CNP0000460_P07T",25
"1","GSE326225_BC1",6
"11","GSE326225_BC1",1
"13","GSE326225_BC1",11
"15","GSE326225_BC1",1
"16","GSE326225_BC1",1
"17","GSE326225_BC1",2
"18","GSE326225_BC1",3
"19","GSE326225_BC1",1
"2","GSE326225_BC1",2
"20","GSE326225_BC1",1
"3","GSE326225_BC1",3
"4","GSE326225_BC1",2
"5","GSE326225_BC1",13
"7","GSE326225_BC1",8
"8","GSE326225_BC1",3
"1","GSE326225_BC2",3
"19","GSE326225_BC2",1
"5","GSE326225_BC2",3
"7","GSE326225_BC2",3
"0","GSE326225_BC3",1
"1","GSE326225_BC3",40
"11","GSE326225_BC3",3
"12","GSE326225_BC3",2
"13","GSE326225_BC3",7
"15","GSE326225_BC3",4
"16","GSE326225_BC3",2
"17","GSE326225_BC3",3
"18","GSE326225_BC3",1
"19","GSE326225_BC3",1
"20","GSE326225_BC3",3
"3","GSE326225_BC3",14
"5","GSE326225_BC3",25
"6","GSE326225_BC3",3
"7","GSE326225_BC3",17
"8","GSE326225_BC3",10
"9","GSE326225_BC3",2
"0","GSE326225_BC4",9
"1","GSE326225_BC4",42
"11","GSE326225_BC4",3
"13","GSE326225_BC4",9
"14","GSE326225_BC4",1
"15","GSE326225_BC4",11
"16","GSE326225_BC4",1
"17","GSE326225_BC4",21
"18","GSE326225_BC4",5
"19","GSE326225_BC4",11
"2","GSE326225_BC4",5
"20","GSE326225_BC4",6
"3","GSE326225_BC4",9
"4","GSE326225_BC4",8
"5","GSE326225_BC4",48
"6","GSE326225_BC4",9
"7","GSE326225_BC4",35
"8","GSE326225_BC4",10
"1","GSE326225_BC5",8
"13","GSE326225_BC5",18
