"cluster","group","n_cells"
"0","CNP0000460_P01N",29
"1","CNP0000460_P01N",50
"11","CNP0000460_P01N",15
"13","CNP0000460_P01N",5
"14","CNP0000460_P01N",1
"16","CNP0000460_P01N",5
"18","CNP0000460_P01N",2
"2","CNP0000460_P01N",1
"3","CNP0000460_P01N",5
"4","CNP0000460_P01N",5
"5","CNP0000460_P01N",25
"6","CNP0000460_P01N",5
"9","CNP0000460_P01N",9
"1","CNP0000460_P01T",3
"12","CNP0000460_P01T",2
"13","CNP0000460_P01T",1
"15","CNP0000460_P01T",1
"17","CNP0000460_P01T",2
"2","CNP0000460_P01T",14
"4","CNP0000460_P01T",1
"7","CNP0000460_P01T",5
"8","CNP0000460_P01T",1
"9","CNP0000460_P01T",1
"0","CNP0000460_P02N",6
"1","CNP0000460_P02N",7
"11","CNP0000460_P02N",4
"13","CNP0000460_P02N",3
"16","CNP0000460_P02N",1
"3","CNP0000460_P02N",1
"5","CNP0000460_P02N",7
"6","CNP0000460_P02N",2
"9","CNP0000460_P02N",5
"1","CNP0000460_P02T",43
"11","CNP0000460_P02T",1
"12","CNP0000460_P02T",2
"13","CNP0000460_P02T",3
"15","CNP0000460_P02T",2
"16","CNP0000460_P02T",3
"2","CNP0000460_P02T",21
"4","CNP0000460_P02T",2
"7","CNP0000460_P02T",7
"8","CNP0000460_P02T",1
"9","CNP0000460_P02T",8
"0","CNP0000460_P03N",13
"1","CNP0000460_P03N",37
"11","CNP0000460_P03N",14
"12","CNP0000460_P03N",2
"13","CNP0000460_P03N",1
"16","CNP0000460_P03N",1
"3","CNP0000460_P03N",6
"4","CNP0000460_P03N",2
"5","CNP0000460_P03N",14
"6","CNP0000460_P03N",2
"9","CNP0000460_P03N",4
"0","CNP0000460_P03T",1
"1","CNP0000460_P03T",3
"11","CNP0000460_P03T",1
"4","CNP0000460_P03T",1
"5","CNP0000460_P03T",1
"9","CNP0000460_P03T",1
"1","CNP0000460_P04T",10
"13","CNP0000460_P04T",2
"16","CNP0000460_P04T",1
"2","CNP0000460_P04T",13
"4","CNP0000460_P04T",7
"7","CNP0000460_P04T",1
"8","CNP0000460_P04T",1
"9","CNP0000460_P04T",2
"0","CNP0000460_P05N",111
"1","CNP0000460_P05N",1
"11","CNP0000460_P05N",38
"13","CNP0000460_P05N",8
"14","CNP0000460_P05N",2
"16","CNP0000460_P05N",1
"17","CNP0000460_P05N",7
"3","CNP0000460_P05N",70
"5","CNP0000460_P05N",44
"6","CNP0000460_P05N",22
"9","CNP0000460_P05N",26
"0","CNP0000460_P05T",2
"1","CNP0000460_P05T",89
"11","CNP0000460_P05T",1
"12","CNP0000460_P05T",2
"13","CNP0000460_P05T",7
"14","CNP0000460_P05T",2
"15","CNP0000460_P05T",7
"16","CNP0000460_P05T",5
"17","CNP0000460_P05T",3
"2","CNP0000460_P05T",60
"4","CNP0000460_P05T",6
"5","CNP0000460_P05T",4
"6","CNP0000460_P05T",1
"8","CNP0000460_P05T",4
"9","CNP0000460_P05T",10
"0","CNP0000460_P06T",6
"1","CNP0000460_P06T",27
"11","CNP0000460_P06T",1
"12","CNP0000460_P06T",2
"13","CNP0000460_P06T",6
"14","CNP0000460_P06T",1
"15","CNP0000460_P06T",2
"16","CNP0000460_P06T",1
"2","CNP0000460_P06T",38
"3","CNP0000460_P06T",3
"4","CNP0000460_P06T",4
"6","CNP0000460_P06T",2
"7","CNP0000460_P06T",1
"8","CNP0000460_P06T",4
"9","CNP0000460_P06T",6
"0","CNP0000460_P07N",83
"1","CNP0000460_P07N",38
"11","CNP0000460_P07N",18
"13","CNP0000460_P07N",2
"16","CNP0000460_P07N",2
"17","CNP0000460_P07N",1
"3","CNP0000460_P07N",60
"5","CNP0000460_P07N",72
"6","CNP0000460_P07N",18
"7","CNP0000460_P07N",1
"9","CNP0000460_P07N",9
"0","CNP0000460_P07T",5
"1","CNP0000460_P07T",71
"11","CNP0000460_P07T",1
"12","CNP0000460_P07T",5
"13","CNP0000460_P07T",13
"14","CNP0000460_P07T",5
"15","CNP0000460_P07T",8
"16","CNP0000460_P07T",1
"17","CNP0000460_P07T",7
"18","CNP0000460_P07T",2
"2","CNP0000460_P07T",139
"3","CNP0000460_P07T",4
"4","CNP0000460_P07T",27
"5","CNP0000460_P07T",1
"6","CNP0000460_P07T",2
"7","CNP0000460_P07T",2
"8","CNP0000460_P07T",19
"9","CNP0000460_P07T",7
"1","GSE326225_BC1",22
"10","GSE326225_BC1",6
"12","GSE326225_BC1",24
"13","GSE326225_BC1",9
"15","GSE326225_BC1",3
"16","GSE326225_BC1",1
"17","GSE326225_BC1",14
"2","GSE326225_BC1",40
"7","GSE326225_BC1",52
"9","GSE326225_BC1",20
"1","GSE326225_BC2",9
"12","GSE326225_BC2",1
"13","GSE326225_BC2",2
"15","GSE326225_BC2",1
"2","GSE326225_BC2",16
"9","GSE326225_BC2",2
"1","GSE326225_BC3",66
"12","GSE326225_BC3",9
"13","GSE326225_BC3",5
"15","GSE326225_BC3",4
"16","GSE326225_BC3",6
"17","GSE326225_BC3",11
"2","GSE326225_BC3",29
"7","GSE326225_BC3",3
"8","GSE326225_BC3",1
"9","GSE326225_BC3",3
"1","GSE326225_BC4",3
"12","GSE326225_BC4",2
"13","GSE326225_BC4",2
"15","GSE326225_BC4",1
"17","GSE326225_BC4",6
"2","GSE326225_BC4",4
"7","GSE326225_BC4",5
"9","GSE326225_BC4",2
"12","GSE326225_BC5",5
"13","GSE326225_BC5",2
"15","GSE326225_BC5",2
"17","GSE326225_BC5",2
"2","GSE326225_BC5",12
"7","GSE326225_BC5",6
"9","GSE326225_BC5",2
"1","GSE326225_BC6",14
"12","GSE326225_BC6",2
"15","GSE326225_BC6",3
"16","GSE326225_BC6",1
"2","GSE326225_BC6",10
"4","GSE326225_BC6",5
"5","GSE326225_BC6",1
"7","GSE326225_BC6",1
"8","GSE326225_BC6",2
"9","GSE326225_BC6",3
"0","GSE326225_BC7",46
"1","GSE326225_BC7",118
"10","GSE326225_BC7",15
"12","GSE326225_BC7",24
"13","GSE326225_BC7",6
"14","GSE326225_BC7",17
"15","GSE326225_BC7",15
"16","GSE326225_BC7",38
"18","GSE326225_BC7",8
"2","GSE326225_BC7",66
"4","GSE326225_BC7",67
"5","GSE326225_BC7",17
"7","GSE326225_BC7",13
"8","GSE326225_BC7",22
"9","GSE326225_BC7",14
"2","GSE326225_BC8",1
"12","HRA003620_BC-01",1
"7","HRA003620_BC-01",3
"0","HRA003620_BC-04",6
"1","HRA003620_BC-04",4
"2","HRA003620_BC-04",3
"3","HRA003620_BC-04",4
"4","HRA003620_BC-04",1
"5","HRA003620_BC-04",3
"6","HRA003620_BC-04",4
"1","HRA003620_BC-11",1
"13","HRA003620_BC-11",1
"7","HRA003620_BC-11",4
"1","HRA003620_BC-24",1
"0","HRA003620_BC-27",16
"11","HRA003620_BC-27",1
"14","HRA003620_BC-27",1
"3","HRA003620_BC-27",8
"4","HRA003620_BC-27",2
"6","HRA003620_BC-27",5
"1","HRA003620_BC-30",4
"16","HRA003620_BC-30",1
"0","HRA003620_NC-01",30
"3","HRA003620_NC-01",42
"6","HRA003620_NC-01",3
"9","HRA003620_NC-01",1
"0","HRA003620_NC-04",1158
"11","HRA003620_NC-04",21
"3","HRA003620_NC-04",993
"4","HRA003620_NC-04",2
"5","HRA003620_NC-04",185
"6","HRA003620_NC-04",498
"8","HRA003620_NC-04",1
"9","HRA003620_NC-04",45
"0","HRA003620_NC-05",315
"1","HRA003620_NC-05",1
"11","HRA003620_NC-05",11
"16","HRA003620_NC-05",1
"17","HRA003620_NC-05",4
"3","HRA003620_NC-05",156
"4","HRA003620_NC-05",4
"5","HRA003620_NC-05",53
"6","HRA003620_NC-05",43
"7","HRA003620_NC-05",4
"9","HRA003620_NC-05",8
"0","HRA003620_NC-11",361
"11","HRA003620_NC-11",34
"16","HRA003620_NC-11",3
"3","HRA003620_NC-11",131
"4","HRA003620_NC-11",1
"5","HRA003620_NC-11",51
"6","HRA003620_NC-11",53
"7","HRA003620_NC-11",3
"9","HRA003620_NC-11",16
"0","HRA003620_NC-24",296
"11","HRA003620_NC-24",23
"13","HRA003620_NC-24",3
"14","HRA003620_NC-24",1
"3","HRA003620_NC-24",243
"4","HRA003620_NC-24",4
"5","HRA003620_NC-24",7
"6","HRA003620_NC-24",49
"7","HRA003620_NC-24",2
"9","HRA003620_NC-24",24
"0","HRA003620_NC-27",655
"11","HRA003620_NC-27",74
"14","HRA003620_NC-27",1
"16","HRA003620_NC-27",4
"3","HRA003620_NC-27",340
"4","HRA003620_NC-27",44
"5","HRA003620_NC-27",53
"6","HRA003620_NC-27",59
"9","HRA003620_NC-27",49
"0","HRA003620_NC-30",778
"1","HRA003620_NC-30",2
"11","HRA003620_NC-30",40
"13","HRA003620_NC-30",1
"14","HRA003620_NC-30",2
"17","HRA003620_NC-30",5
"3","HRA003620_NC-30",434
"4","HRA003620_NC-30",24
"5","HRA003620_NC-30",94
"6","HRA003620_NC-30",141
"7","HRA003620_NC-30",3
"8","HRA003620_NC-30",1
